Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,32.500000,40.099998,32.419998,36.680000,36.680000,15620700
2021-09-16,42.404999,52.000000,40.500000,48.000000,48.000000,12215800
2021-09-17,48.660000,54.389999,42.000000,43.549999,43.549999,10074500
2021-09-20,42.259998,52.000000,41.099998,51.560001,51.560001,4818000
2021-09-21,51.810001,62.000000,47.389999,54.889999,54.889999,10088500
2021-09-22,56.400002,59.250000,49.310001,50.880001,50.880001,5088700
2021-09-23,52.247002,54.900002,50.029999,52.009998,52.009998,1952900
2021-09-24,52.930000,54.689999,50.130001,52.889999,52.889999,1853400
2021-09-27,52.799999,53.438000,47.340000,47.450001,47.450001,3525000
2021-09-28,47.000000,47.348999,42.840000,43.900002,43.900002,3578800
2021-09-29,45.000000,48.369999,43.750000,44.950001,44.950001,2319900
2021-09-30,45.240002,45.340000,41.480000,43.320000,43.320000,2152200
2021-10-01,43.750000,46.799999,42.820000,46.060001,46.060001,2133900
2021-10-04,45.860001,47.919998,44.474998,44.970001,44.970001,1250200
2021-10-05,45.000000,45.299999,42.349998,43.070000,43.070000,1594700
2021-10-06,42.400002,43.500000,41.320000,41.689999,41.689999,1442200
2021-10-07,42.310001,44.779999,42.099998,42.820000,42.820000,1069300
2021-10-08,43.410000,43.500000,42.500000,42.650002,42.650002,448200
2021-10-11,43.500000,50.250000,43.500000,49.000000,49.000000,4044100
2021-10-12,48.270000,49.900002,46.849998,47.720001,47.720001,1959300
2021-10-13,48.169998,52.099998,47.869999,50.900002,50.900002,2769900
2021-10-14,51.689999,55.869999,51.250000,53.000000,53.000000,2573400
2021-10-15,54.889999,56.869999,51.619999,53.029999,53.029999,2599500
2021-10-18,53.200001,59.070000,53.000000,57.349998,57.349998,2723200
2021-10-19,58.950001,65.800003,57.755001,64.730003,64.730003,5039400
2021-10-20,65.879997,67.290001,59.400002,61.419998,61.419998,3641800
2021-10-21,61.110001,64.739998,59.250000,60.580002,60.580002,2100300
2021-10-22,60.830002,69.540001,60.509998,68.860001,68.860001,3742800
2021-10-25,69.500000,72.500000,64.519997,66.940002,66.940002,3054500
2021-10-26,68.000000,72.059998,67.001999,70.410004,70.410004,2239300
2021-10-27,70.660004,70.689003,67.099998,67.870003,67.870003,1385500
2021-10-28,68.699997,74.199997,68.500000,68.980003,68.980003,2159600
2021-10-29,69.239998,76.769997,69.099998,76.239998,76.239998,2360600
2021-11-01,77.500000,81.400002,73.750000,76.250000,76.250000,3080600
2021-11-02,77.260002,77.750000,69.019997,71.599998,71.599998,2893000
2021-11-03,71.599998,72.554001,66.668999,67.779999,67.779999,2215700
2021-11-04,67.779999,71.750000,67.540001,69.709999,69.709999,1622300
2021-11-05,70.739998,71.000000,64.099998,67.980003,67.980003,2290100
2021-11-08,67.699997,70.050003,65.800003,67.800003,67.800003,1279500
2021-11-09,67.980003,68.334000,62.779999,64.580002,64.580002,1713600
2021-11-10,62.720001,66.000000,60.610001,62.299999,62.299999,2219700
2021-11-11,68.650002,72.589996,62.310001,66.000000,66.000000,4614800
2021-11-12,66.279999,66.510002,61.259998,62.060001,62.060001,2538100
2021-11-15,63.490002,63.805000,60.849998,62.560001,62.560001,2034000
2021-11-16,61.930000,62.439999,57.900002,60.540001,60.540001,3288700
2021-11-17,59.500000,59.799999,55.669998,56.860001,56.860001,3550400
2021-11-18,57.139999,57.400002,53.810001,53.970001,53.970001,2569700
2021-11-19,53.570000,55.480000,52.185001,54.990002,54.990002,2116100
2021-11-22,55.799999,56.200001,49.840000,51.279999,51.279999,2186200
2021-11-23,51.830002,54.099998,50.271000,52.160000,52.160000,1850900
2021-11-24,51.500000,54.980000,51.200001,54.080002,54.080002,1363800
2021-11-26,52.200001,54.689999,50.785000,54.270000,54.270000,978900
2021-11-29,55.099998,55.750000,50.770000,52.869999,52.869999,1642300
2021-11-30,52.009998,53.395000,49.259998,52.840000,52.840000,2699500
2021-12-01,52.330002,54.990002,47.049999,48.060001,48.060001,3148600
2021-12-02,48.470001,49.740002,46.250000,48.270000,48.270000,1915500
2021-12-03,48.750000,49.320000,44.000000,46.389999,46.389999,2886000
2021-12-06,44.959999,47.549999,43.799999,46.200001,46.200001,1906100
2021-12-07,47.730000,51.270000,47.730000,50.320000,50.320000,1483300
