Date,Open,High,Low,Close,Adj Close,Volume
2021-06-16,9.960000,10.000000,9.960000,9.970000,9.970000,566400
2021-06-17,9.990000,10.000000,9.970000,9.980000,9.980000,1054600
2021-06-18,9.980000,10.000000,9.970000,9.980000,9.980000,2113500
2021-06-21,9.990000,10.090000,9.050000,9.990000,9.990000,2188600
2021-06-22,9.950000,10.000000,9.590000,10.000000,10.000000,708300
2021-06-23,9.950000,10.880000,9.860000,10.180000,10.180000,1776200
2021-06-24,10.330000,10.330000,9.916000,9.990000,9.990000,891900
2021-06-25,10.100000,10.380000,10.050000,10.190000,10.190000,452800
2021-06-28,11.103000,12.000000,10.250000,11.560000,11.560000,1840400
2021-06-29,11.800000,11.800000,10.710000,10.750000,10.750000,787100
2021-06-30,10.960000,10.960000,9.860000,10.080000,10.080000,727700
2021-07-01,10.395000,10.610000,10.100000,10.540000,10.540000,452600
2021-07-02,10.590000,10.620000,10.370000,10.460000,10.460000,192000
2021-07-06,10.420000,10.420000,10.000000,10.110000,10.110000,376500
2021-07-07,10.100000,10.190000,9.320000,9.740000,9.740000,589300
2021-07-08,9.610000,9.610000,9.100000,9.150000,9.150000,486600
2021-07-09,9.310000,9.770000,9.070000,9.720000,9.720000,426800
2021-07-12,10.000000,10.290000,9.700000,10.250000,10.250000,247000
2021-07-13,10.480000,10.750000,10.170000,10.490000,10.490000,625000
2021-07-14,10.860000,10.890000,10.250000,10.700000,10.700000,353700
2021-07-15,10.680000,10.680000,10.100000,10.420000,10.420000,294500
2021-07-16,10.430000,10.490000,9.875000,10.000000,10.000000,309200
2021-07-19,9.760000,9.847000,9.400000,9.780000,9.780000,347800
2021-07-20,10.000000,10.150000,9.390000,9.390000,9.390000,448800
2021-07-21,9.500000,9.770000,9.460000,9.570000,9.570000,376600
2021-07-22,9.750000,9.759000,9.130000,9.140000,9.140000,314800
2021-07-23,9.340000,9.368000,9.110000,9.120000,9.120000,141100
2021-07-26,9.060000,9.210000,8.780000,8.810000,8.810000,397600
2021-07-27,9.070000,9.220000,8.530000,8.720000,8.720000,266500
2021-07-28,8.860000,9.000000,8.490000,8.630000,8.630000,272500
2021-07-29,8.550000,8.680000,8.550000,8.580000,8.580000,207300
2021-07-30,8.490000,8.600000,8.040000,8.120000,8.120000,327400
2021-08-02,8.120000,8.660000,8.120000,8.420000,8.420000,206000
2021-08-03,8.270000,8.690000,8.200000,8.680000,8.680000,422500
2021-08-04,8.690000,9.050000,8.600000,9.010000,9.010000,329500
2021-08-05,9.180000,9.950000,9.150000,9.890000,9.890000,398000
2021-08-06,10.400000,10.470000,8.770000,8.990000,8.990000,591800
2021-08-09,9.220000,9.264000,8.130000,8.810000,8.810000,3599300
2021-08-10,8.850000,9.050000,8.750000,8.800000,8.800000,545300
2021-08-11,8.980000,9.120000,8.570000,9.000000,9.000000,678800
2021-08-12,8.860000,9.000000,8.500000,8.550000,8.550000,1010400
2021-08-13,8.570000,8.840000,8.340000,8.660000,8.660000,553000
2021-08-16,8.550000,8.660000,7.890000,7.950000,7.950000,1068000
2021-08-17,7.840000,8.360000,7.620000,7.920000,7.920000,680700
2021-08-18,7.850000,8.200000,7.800000,8.090000,8.090000,360600
2021-08-19,7.880000,8.230000,7.580000,7.670000,7.670000,522300
2021-08-20,7.720000,7.950000,7.330000,7.470000,7.470000,899500
2021-08-23,7.580000,7.580000,7.260000,7.280000,7.280000,886700
2021-08-24,7.490000,7.550000,7.350000,7.430000,7.430000,618400
2021-08-25,7.320000,7.740000,7.291000,7.630000,7.630000,1062000
2021-08-26,7.630000,7.710000,7.380000,7.700000,7.700000,616900
2021-08-27,7.710000,7.840000,7.520000,7.740000,7.740000,635200
2021-08-30,7.700000,7.706000,7.350000,7.570000,7.570000,497500
2021-08-31,7.620000,8.100000,7.590000,7.960000,7.960000,595100
